Birdie, A-, B, A, B, B+, A-, B, B+, A-, B+, A, B, B, A 
Cammy, A, A, A, A, S-, S-, A, A+, S-, S, S, A, A, A 
ChunLi, S, A, S, A+, S, S-, A, S+, S-, S, S, A, A, S 
Dhalsim, B-, A, A, B, A, A-, B, B+, A, B+, A, A, A, B 
FANG, C+, D, B+, C, B, B, C, B+, A-, B, A-, D, C, B 
Karin, A, A, A+, A, S-, A, A, A+, S-, A, S, B, A, A 
Ken, B-, C, B, C, B+, B, B, B+, A-, B+, A-, B, B, C 
Laura, A-, A, A+, B, A, A, A, S, A-, A, A, B, B, B 
M_Bison, A, S, A+, A, S-, S-, A, S, S-, S, S, A, A, S 
Nash, C-, B, C, D, B, B, D, C, C, B, B, D, C, C 
Necalli, B+, S, A, A, A, A, A, A, A, A, A+, A, A, A 
R_Mika, A-, B, A, B, B+, A, C, A, A, A, A+, B, B, B 
Rashid, S+, A, S, A, S, S, A, S, S-, S, S+, A, S, S 
Ryu, C+, D, B, C, B, B, D, B, B, B, B+, D, C, C 
Vega, B-, C, B, B, A, B, C, A, B, B, B+, B, B, C 
Zangief, B-, B, A, C, A, A-, B, A, A, A, A-, A, A, S 
Alex, C-, D, B, D, B, C, D, C, C, C, B, C, C, C 
Balrog, B+, A, B+, B, A, A-, C, A, A-, A, A, B, B, C 
Guile, A, S, S, A, A, S-, S, A, S-, A, S, A, A, A 
Ibuki, S, A, A+, A, A, A, B, A+, A+, A, S, A, B, A 
Juri, B-, B, C, C, B+, A-, C, B, B, B+, A-, C, B, A 
Urien, S+, S, S, A+, S, S-, S, S, S, S, S+, S, A, A 
Abigail, A-, A, S, B, A, A, A, A+, S-, A, A+, A, S, A 
Akuma, S+, S, A+, S, S, S, S, S+, S+, S, S+, S, S, S 
Ed, C+, B, C, C, B+, B, C, B, B, B+, A-, D, B, B 
Kolin, A, A, S, A, S-, S-, S, A+, S, A, S, A, S, S 
Menat, B+, A, A, B, A, A, B, A, A, A, B+, A, B, A 
Zeku, A, S, A+, A, S, S-, B, S+, A+, S, A+, A, A, A 
Blanka, B+, D, B, D, B+, A-, C, B+, B, B+, B+, C, C, B 
Cody, B+, C, B+, C, B+, A-, B, B, B, B+, B+, C, B, C 
Falke, C+, C, C, C, B+, B, C, B, C, B+, B, D, B, C 
G, S, S, S, B, S, S-, A, S, A+, S, S, A, A, S 
Sagat, B-, A, B, C, B, B, B, B, B, B, B+, C, B, B 
Sakura, A-, A, A, B, A, A, B, A, A, A, A, B, B, B 
E_Honda, B+, B, B, D, A, A-, C, B+, B, B+, B+, C, B, B 
Gill, B-, B, B+, C, A, B, C, B+, B, B+, A-, B, B, C 
Kage, B+, A, A, B, A, B, B, B, A-, B+, A-, B, A, B 
Lucia, B-, C, A, C, B+, B, C, B, A, B+, A-, B, B, B 
Poison, S, S, A, A, S-, S-, A, A, S-, A, S, S, A, A 
Seth, A, A, A, A+, S-, S-, S, S+, A, A+, A, S, A
